YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,3,20,100.35,4.02,5.68,2.06,3.62,300.56,5.73,7.98,2.67,5.3,301.75,46.62,29.33
2021,3,21,100.24,4.58,7.39,2.66,4.73,261.81,6.3,8.66,3.26,5.41,262.38,49.88,29
2021,3,22,100.43,4.44,7.91,1.79,6.12,233.38,5.95,9,2.7,6.3,233.38,56.19,28.4
2021,3,23,100.59,3.66,6.52,1.7,4.83,275.31,5.61,8.54,1.89,6.65,274.44,53.19,28.43
2021,3,24,100.75,2.27,3.32,1.02,2.3,242.75,3.7,6.49,0.89,5.61,242.44,43.12,27.74
2021,3,25,100.73,2.34,4.55,0.69,3.87,172.06,3.3,5.88,1.02,4.85,172.94,30.19,29.27
2021,3,26,100.64,2.62,4.34,1.66,2.7,294.5,3.94,7.42,1.77,5.65,294.94,34.94,29.74
2021,3,27,100.49,4.34,6.45,2.85,3.6,275.44,6.35,9.02,2.98,6.05,275.31,38.94,29.86
2021,3,28,100.33,5.19,7.23,3.95,3.28,263.56,6.96,8.87,4.7,4.16,263.94,52.56,29.26
2021,3,29,100.19,6,8.71,3.64,5.07,246.06,7.84,9.56,6.44,3.12,246.56,58.38,29.23
2021,3,30,100.08,4.43,5.95,2.85,3.09,257.69,5.92,7.93,3.12,4.8,260.25,58.88,30.2
2021,3,31,100.05,4.22,5.98,2.34,3.65,282.56,5.95,8.82,2.95,5.88,283.88,48.62,31.18
2021,4,1,100,3.43,5.11,1.89,3.22,280.44,5.23,8.33,2.74,5.59,251.5,39.12,30.21
2021,4,2,100.04,3.64,6.48,1.24,5.24,286.69,5.61,9.62,1.35,8.27,288.81,41.62,30.07
2021,4,3,100.11,3.95,6.98,2.05,4.93,239.88,5.49,9.41,1.94,7.48,240.38,47.81,30.91
2021,4,4,100.34,4.59,7.56,2.19,5.38,242.25,5.97,9.08,3.03,6.05,243.31,53.62,30.51
2021,4,5,100.38,5.74,8.45,3.48,4.96,242.94,7.56,9.27,6.44,2.83,243.38,55.56,30.04
2021,4,6,100.33,5.88,7.84,3.99,3.85,247.75,7.78,8.62,7.05,1.58,248.06,56,30.02
2021,4,7,100.44,4.59,6.22,2.68,3.54,267.5,6.22,8.88,2.87,6.02,268.69,52.75,30.51
2021,4,8,100.32,3.45,6.43,1.84,4.59,262.38,5.06,9.01,1.97,7.03,248.81,48.06,29.97
2021,4,9,100.28,3.2,5.98,0.88,5.1,291.38,4.74,8.2,0.88,7.32,293.5,44.81,29.72
2021,4,10,100.4,3.37,5.55,1.23,4.33,254.5,4.94,7.62,1.38,6.23,256.75,44.31,30.62
2021,4,11,100.47,3.62,6.62,0.21,6.41,227.38,5.17,8.88,0.37,8.51,226.88,39.81,31.54
2021,4,12,100.59,4.37,6.3,2.77,3.53,258.19,6.01,8.87,2.76,6.11,258.38,44.88,31.02
2021,4,13,100.58,4.29,6.78,2.82,3.96,265.19,6.14,7.98,3.94,4.04,265.06,49.31,29.75
2021,4,14,100.5,5.49,9.39,3.38,6.01,265,7.48,10.58,5.34,5.24,264.5,51.5,28.91
2021,4,15,100.42,6.02,8.63,3.58,5.05,247.88,7.82,9.54,6.35,3.19,247.81,61.38,28.54
2021,4,16,100.35,5.15,8.02,2.44,5.58,257.31,6.58,9.14,4.65,4.49,258,59.06,29.83
2021,4,17,100.47,4.98,6.96,3.27,3.69,259.62,6.36,8.75,4.12,4.62,260.75,54.5,30.74
2021,4,18,100.55,3.85,6.88,1.45,5.42,249.75,5.08,9.05,1.42,7.63,250.31,47.69,31.58
2021,4,19,100.28,5.48,8.45,3.8,4.65,252.81,6.76,9.77,4.12,5.65,253.5,49.25,31.6
2021,4,20,100.15,5.37,7.91,3.67,4.23,250.44,7,9.05,5.85,3.2,251.25,52,30.28
2021,4,21,100.37,4.71,8.02,3.12,4.91,258.38,6.27,9.9,3.97,5.94,259.38,52.44,30.36
2021,4,22,100.39,5.41,8.39,3.1,5.29,240.25,6.88,9.17,4.04,5.13,240.56,54.56,30.56
2021,4,23,100.23,6.66,9.12,3.84,5.27,238.94,8.36,10.23,7.07,3.16,239.75,62.06,30.15
2021,4,24,100.31,4.52,6.45,2.49,3.96,268,5.77,8.24,2.62,5.61,270.06,57.38,30.93
2021,4,25,100.34,3.48,6.23,1.25,4.98,232.38,4.73,8.16,1.23,6.94,231.19,43.62,32.82
2021,4,26,100.23,4.22,7.21,1.49,5.72,261.56,5.3,9.23,1.35,7.88,262.25,42.88,33.44
2021,4,27,100.26,4.84,7.52,1.98,5.54,253.38,5.95,8.81,1.91,6.9,253.12,46.38,32.97
2021,4,28,100.41,4.32,6.23,2.42,3.81,251.06,5.29,7.22,2.58,4.64,250.56,51.25,31.3
2021,4,29,100.37,4.73,7.23,2.41,4.82,253.81,5.86,7.85,3.93,3.92,253.56,51.62,31.26
2021,4,30,100.22,4.44,6.95,2.49,4.45,251,5.53,8.55,2.6,5.95,251.94,54.62,31.11
2021,5,1,100.19,5.15,7.05,3.19,3.87,257.94,6.73,7.83,5.73,2.1,258.38,47.81,31.84
