YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,6,29,96.7,2.11,3.56,1.09,2.48,269.19,2.98,4.45,1.44,3.02,266.94,84.38,25.26
2021,6,30,96.72,2.14,3.8,1.04,2.77,284.5,3.12,4.79,1.45,3.33,282.44,84.81,25.69
2021,7,1,96.62,2.88,4.41,1.87,2.55,285.31,4.24,5.68,3.08,2.59,283.56,89.25,25.7
2021,7,2,96.7,2.39,3.2,1.38,1.82,260,3.68,4.84,2.52,2.34,258.38,89.56,25.22
2021,7,3,96.77,2.34,3.95,1.43,2.52,268.56,3.51,5.12,2.64,2.48,267.12,89.38,25.05
2021,7,4,96.75,2.34,3.75,1.4,2.36,289.25,3.39,4.8,2.17,2.63,288.56,89.31,24.94
2021,7,5,96.69,2.47,3.86,1.58,2.29,292.19,3.57,4.73,2.48,2.24,291.69,85.81,24.44
2021,7,6,96.53,2.95,4.05,2.12,1.93,291,4.34,5.12,3.75,1.38,290.38,87.31,25.31
2021,7,7,96.52,3.64,5.36,1.99,3.37,281.06,5.28,6.98,3.64,3.34,280.38,92.12,24.93
2021,7,8,96.63,2.65,3.33,1.84,1.48,278.94,3.94,5.3,3.12,2.17,277.12,88.88,24.91
2021,7,9,96.47,3.31,5.98,0.71,5.27,265.25,4.73,7.92,1.13,6.79,277.44,92.19,23.92
2021,7,10,96.49,3.34,4.49,2.37,2.13,265,4.99,6.12,4,2.11,264.44,88.06,23.37
2021,7,11,96.49,3.77,6.38,2.14,4.23,268.44,5.55,8.56,3.66,4.9,267.75,90.56,23.56
2021,7,12,96.47,4.22,5.79,3.09,2.7,262.81,6.25,7.78,5.19,2.59,262.88,90.38,24.54
2021,7,13,96.51,4.62,6.84,3.29,3.55,261.75,6.79,9.34,5.34,4,261.75,91.62,24.83
2021,7,14,96.59,4.7,6.22,3.2,3.02,266,6.98,8.55,5.39,3.16,266.31,92.06,24.7
2021,7,15,96.53,4.8,6.59,3.07,3.52,254.75,7.02,8.93,5.17,3.76,255.19,93.31,24.65
2021,7,16,96.72,4.27,5.64,3.12,2.52,265.38,6.26,7.67,5.21,2.45,265.62,92.19,24.71
2021,7,17,96.78,4.12,5.29,3.19,2.11,279.62,6.02,7.02,5.03,1.99,279.5,91.5,24.79
2021,7,18,96.7,4.59,5.78,2.96,2.81,280.19,6.66,7.75,5.01,2.74,280,94.06,24.55
2021,7,19,96.75,4.06,5.74,2.81,2.93,280.12,6.07,7.78,4.76,3.02,280.19,92.38,24.62
2021,7,20,96.97,4.48,6.2,3.27,2.93,268.81,6.68,8.6,5.37,3.23,269.25,91.31,24.54
2021,7,21,96.91,4.45,6.11,3.02,3.09,272.81,6.67,8.55,5.04,3.52,273.31,92.31,24.7
2021,7,22,96.67,4.97,6.48,3.43,3.05,266.88,7.38,8.88,5.69,3.19,267.44,94.25,23.94
2021,7,23,96.56,4.74,6.1,3.5,2.6,266,7.01,8.33,5.89,2.44,266.62,92.94,24.54
2021,7,24,96.64,4.21,5.88,2.83,3.05,271.62,6.3,8.11,4.8,3.31,272.19,93.31,24.83
2021,7,25,96.79,4.36,5.88,2.77,3.1,257.31,6.41,8.02,4.71,3.3,257.69,93.81,24.62
2021,7,26,96.82,3.66,4.88,2.42,2.46,260.69,5.47,6.62,4.2,2.42,260.75,91.69,24.58
2021,7,27,96.75,3.82,5.73,2.33,3.41,256.69,5.66,7.82,4.02,3.8,257.12,90.94,24.72
2021,7,28,96.83,3.91,5.25,2.68,2.57,250.69,5.85,7.19,4.52,2.66,251.19,89.5,24.76
2021,7,29,96.88,4.19,5.86,2.99,2.88,262.88,6.18,7.88,5.09,2.78,263.25,89.75,24.76
2021,7,30,96.95,4.14,5.8,2.93,2.87,268.12,6.16,7.91,4.98,2.93,268.38,90.38,24.8
2021,7,31,96.99,3.98,5.74,2.84,2.91,275.06,5.92,7.85,4.78,3.07,274.81,90.38,24.78
2021,8,1,96.92,3.69,5.12,2.44,2.69,273.81,5.5,6.9,4.25,2.65,273.5,89.44,24.55
2021,8,2,96.92,3.86,5.39,2.63,2.75,263.69,5.73,7.24,4.52,2.72,263.44,87.81,24.6
2021,8,3,97.03,3.75,5.37,2.51,2.86,265.31,5.6,7.32,4.32,3,265.75,90.06,24.74
2021,8,4,97.08,4.08,5.74,2.8,2.95,263.88,6.12,7.97,4.77,3.2,264.38,91,24.75
2021,8,5,96.9,4.47,6.36,2.6,3.75,270.06,6.73,8.91,4.53,4.38,270.25,90.31,24.98
2021,8,6,96.8,4.09,5.91,2.58,3.34,269.31,6.1,8.12,4.41,3.71,269.38,90.38,25.04
2021,8,7,96.81,4.19,5.76,2.37,3.39,267.69,6.2,7.91,4.12,3.8,267.75,91.25,25.25
2021,8,8,96.83,2.73,4.34,1.59,2.75,258.38,4.09,5.8,2.99,2.81,257.94,90.75,24.87
2021,8,9,96.85,2.65,4.02,1.73,2.29,246.94,3.94,5.29,2.8,2.48,246.56,91.81,24.76
2021,8,10,96.84,2.7,3.92,1.77,2.16,268.44,4.05,5.14,3.14,2,267.44,92.88,24.26
2021,8,11,96.83,2.76,4.4,1.77,2.62,279.69,4.09,5.64,3.23,2.41,280,91.06,24.52
2021,8,12,96.94,2.72,3.96,1.93,2.04,286.19,4.16,5.23,3.54,1.7,285.25,92.88,24.21
2021,8,13,96.84,3.47,5.08,2.38,2.7,294.31,5.15,6.76,3.89,2.87,294,90.69,24.65
2021,8,14,96.75,3.28,5.34,2.08,3.26,279.06,4.88,7.08,3.6,3.48,278.19,90.38,24.38
2021,8,15,96.77,3.28,4.68,2.23,2.45,273.75,4.92,6.25,3.91,2.34,273.25,90.19,24.52
2021,8,16,96.82,2.82,3.93,1.63,2.3,280,4.34,5.46,3.05,2.42,278.81,91,24.57
2021,8,17,96.85,2.23,3.93,0.34,3.6,262.06,3.41,5.38,0.77,4.61,261,88.94,24.61
2021,8,18,96.77,2.62,3.96,1.74,2.21,206.5,3.88,5.24,2.17,3.06,210.12,89.5,23.43
2021,8,19,96.76,2.52,3.56,1.72,1.84,227.56,3.8,4.74,2.68,2.05,231.12,85.75,23.51
2021,8,20,96.78,1.96,3.48,0.88,2.59,281.06,3.09,4.77,1.48,3.28,278.5,85.75,23.99
2021,8,21,96.87,1.26,2.35,0.38,1.97,229,1.82,3.3,0.68,2.62,223.88,83.25,23.95
2021,8,22,96.81,1.66,2.89,0.64,2.25,183.94,2.44,3.92,0.82,3.11,197.44,82.5,24.45
